X,Результаты модуля (RealMathModule),Результаты модуля (IterMathModule)
-5.5963,65472.26971463347,65472.26989910947
-5.5952,64329.95498921941,64329.95516733683
-5.5941,63205.83179155763,63205.831963511184
-5.593,62099.61210445711,62099.612270434925
-5.5919,61011.01258796255,61011.0127481472
-5.5908,59939.75449956916,59939.75465413793
-5.5897,58885.56361589243,58885.56376501691
-5.5886,57848.170155762644,57848.17029960887
-5.5875,56827.30870471211,56827.3088434413
-5.5864,55822.718140833465,55822.71827460149
-5.5853,54834.141561984085,54834.14169094326
-5.5842,53861.3262143036,53861.3263385999
-5.5831,52904.02342201825,52904.02354179433
-5.582,51961.988518519094,51961.98863391298
-5.5809,51034.98077867493,51034.98088981983
-5.5798,50122.7633523637,50122.76345938956
-5.5786999999999995,49225.10319919953,49225.10330223213
-5.5776,48341.77102442879,48341.77112359002
-5.5765,47472.54121597068,47472.541311378176
-5.5754,46617.19178259022,46617.19187435895
-5.5743,45775.50429317086,45775.5043814115
-5.5732,44947.26381707046,44947.263901890656
-5.5721,44132.25886553945,44132.25894704371
-5.571,43330.28133418345,43330.28141247294
-5.5699,42541.12644644359,42541.12652161658
-5.5687999999999995,41764.59269808265,41764.59277023413
-5.5677,41000.48180265433,41000.48187187664
-5.5666,40248.598637932344,40248.598704314805
-5.5655,39508.751193294804,39508.75125692432
-5.5644,38780.75051802899,38780.75057898952
-5.5633,38064.41067054986,38064.4107289233
-5.5622,37359.548668513664,37359.548724379136
-5.5611,36665.98443980567,36665.984493239754
-5.56,35983.54077438856,35983.54082546578
-5.5588999999999995,35312.043276997574,35312.04332579035
-5.5578,34651.320320660496,34651.320367238826
-5.5567,34001.20300102964,34001.20304546131
-5.5556,33361.525091516865,33361.52513386809
-5.5545,32732.12299920429,32732.123039538797
-5.5534,32112.835721526615,32112.835759906724
-5.5523,31503.50480370648,31503.504840192218
-5.5512,30903.97429692819,30903.97433157799
-5.5501,30314.090717238054,30314.090750108688
-5.549,29733.703005157677,29733.70303630408
-5.5479,29162.662485992947,29162.662515468583
-5.5468,28600.82283083482,28600.822858691427
-5.5457,28048.040018227413,28048.040044515437
-5.5446,27504.172296501216,27504.172321269394
-5.5435,26969.080146753393,26969.080170049074
-5.5424,26442.626246464424,26442.626268333574
-5.5413,25924.675433741064,25924.675454228443
-5.5402,25415.094672172763,25415.09469132164
-5.5391,24913.753016289174,24913.753034141733
-5.538,24420.521577609867,24420.52159420676
-5.5369,23935.27349127536,23935.273506656427
-5.5358,23457.88388324633,23457.883897450036
-5.5347,22988.229838063853,22988.22985112765
-5.5336,22526.19036715771,22526.190379117983
-5.5325,22071.646377694997,22071.646388586927
-5.5314,21624.480641957452,21624.48065181524
-5.5303,21184.577767239633,21184.57777609679
-5.5292,20751.824166256247,20751.82417414505
-5.5281,20326.10802805253,20326.108035004443
-5.527,19907.31928940554,19907.31929545104
-5.5259,19495.34960670869,19495.34961187747
-5.5248,19090.092328331928,19090.092332652926
-5.5237,18691.442467446785,18691.4424709478
-5.5226,18299.296675310055,18299.296678018585
-5.5215,17913.55321499689,17913.553216939366
-5.5204,17534.11193557491,17534.111936777033
-5.5193,17160.874246711064,17160.874247197986
-5.5182,16793.74309370731,16793.743093503195
-5.5171,16432.62293295028,16432.622932078975
-5.516,16077.419707775643,16077.41970626011
-5.5149,15728.040824732505,15728.04082259501
-5.5138,15384.395130246417,15384.395127508928
-5.5127,15046.392887670823,15046.392884354636
-5.5116,14713.945754720758,14713.945750846311
-5.5105,14386.966761281974,14386.966756869486
-5.5094,14065.370287588601,14065.370282657468
-5.5083,13749.072042764761,13749.072037334043
-5.5072,13437.989043720407,13437.989037808658
-5.5061,13132.039594397862,13132.039588023006
-5.505,12831.143265361148,12831.143258540847
-5.5039,12535.220873724056,12535.22086647533
-5.5028,12244.194463408381,12244.194455747918
-5.5017,11957.987285729074,11957.987277673039
-5.5006,11676.52378029901,11676.523771863323
-5.4995,11399.729556247767,11399.729547447689
-5.4984,11127.531373750395,11127.531364600985
-5.4973,10859.85712585942,10859.857116375357
-5.4962,10596.635820634616,10596.635810830096
-5.4951,10337.797563566503,10337.797553455377
-5.494,10083.273540287331,10083.27352988327
-5.4929,9832.995999566107,9832.995988882325
-5.4918,9586.89823658062,9586.898225629899
-5.4907,9344.914576463192,9344.914565258197
-5.4896,9106.980358114764,9106.980346667753
-5.4885,8873.031918284183,8873.031906607122
-5.4874,8643.006575904916,8643.006564009545
-5.4863,8416.842616687818,8416.842604585581
-5.4852,8194.479277964805,8194.479265666801
-5.4841,7975.856733777304,7975.85672129444
-5.483,7760.91608020828,7760.916067551138
-5.4818999999999996,7549.599320951074,7549.5993081301
-5.4808,7341.84935311265,7341.849340137996
-5.4797,7137.60995324541,7137.609940127021
-5.4786,6936.825763606896,6936.825750354552
-5.4775,6739.4422786397745,6739.44226526286
-5.4764,6545.4058316703195,6545.405818178097
-5.4753,6354.663581821826,6354.663568223445
-5.4742,6167.163501138736,6167.163487443114
-5.4731,5982.854361917815,5982.854348133537
-5.4719999999999995,5801.685724242895,5801.685710378527
-5.4709,5623.607923720752,5623.6079097846605
-5.4698,5448.572059412481,5448.572045412799
-5.4687,5276.529981959873,5276.529967904562
-5.4676,5107.434281901182,5107.4342677980785
-5.4665,4941.2382781740225,4941.238264030863
-5.4654,4777.896006802574,4777.895992626858
-5.4643,4617.3622097654015,4617.36219556447
-5.4632,4459.592324040636,4459.5923098217345
-5.4620999999999995,4304.54247082684,4304.542456597026
-5.461,4152.169444935006,4152.169430701256
-5.4599,4002.430704349262,4002.430690118437
-5.4588,3855.284359955238,3855.2843457339523
-5.4577,3710.689165429711,3710.6891512245943
-5.4566,3568.6045072925817,3568.6044931101314
-5.4555,3428.990395115773,3428.990380962258
-5.4544,3291.807451887803,3291.8074377694697
-5.4533,3157.0169045312696,3157.016890454258
-5.4521999999999995,3024.5805745701764,3024.5805605404707
-5.4511,2894.4608689450683,2894.460854968617
-5.45,2766.6207709731893,2766.6207570558067
-5.4489,2641.0238314521753,2641.0238175995764
-5.4478,2517.6341599032835,2517.6341461211096
-5.4467,2396.416415953187,2396.4164022469677
-5.4456,2277.3358008517544,2277.3357872269175
-5.4445,2160.3580491229327,2160.3580355848326
-5.4434000000000005,2045.4494203476806,2045.449406901642
-5.4422999999999995,1932.5766910755594,1932.576677726356
-5.4412,1821.7071468629877,1821.707133616187
-5.4401,1712.8085744383425,1712.8085612989494
-5.439,1605.8492539880065,1605.8492409610112
-5.4379,1500.7979515641064,1500.797938654437
-5.4368,1397.623911611301,1397.623898823813
-5.4357,1296.2968496103438,1296.2968369497778
-5.4346,1196.7869448367587,1196.7869323078505
-5.4335,1099.0648332328,1099.0648208401562
-5.4324,1003.1016003903791,1003.101588138636
-5.4313,908.868774644257,908.8687625379246
-5.4302,816.3383202720071,816.3383083155611
-5.4291,725.4826308006881,725.4826189985461
-5.428,636.2745224172086,636.2745107737509
-5.4269,548.6872274818445,548.6872160013556
-5.4258,462.69438814188584,462.6943768286509
-5.4247,378.2700500450979,378.2700389033091
-5.4236,295.38865615065407,295.3886451845229
-5.4225,214.02504063570277,214.025029849321
-5.4214,134.1544228972168,134.15441229462732
-5.4203,55.75240164596026,55.75239123122629
-5.4192,-21.205050907578887,-21.205061130455455
-5.4181,-96.74159477754462,-96.74160480462848
-5.417,-170.88052783843486,-170.880537665848
-5.4159,-243.6447913738682,-243.6448009976945
-5.4148,-315.05697553950125,-315.05698495592594
-5.4137,-385.1393247417915,-385.13933394702764
-5.4126,-453.91374293399747,-453.9137519242771
-5.4115,-521.4017988300232,-521.4018076016314
-5.4104,-587.6247310386298,-587.6247395878637
-5.4093,-652.6034531182129,-652.6034614414112
-5.4082,-716.3585585540521,-716.3585666475839
-5.4071,-778.9103256590588,-778.9103335193512
-5.406,-840.278722399203,-840.2787300226737
-5.4049,-900.4834111450117,-900.4834185281386
-5.4038,-959.543753350015,-959.5437604892662
-5.4027,-1017.4788141578694,-1017.4788210497612
-5.4016,-1074.3073669383698,-1074.3073735794414
-5.4005,-1130.0478977545747,-1130.0479041414467
-5.3994,-1184.7186097614335,-1184.7186158906636
-5.3983,-1238.3374275370697,-1238.3374334052965
-5.3972,-1290.9220013480797,-1290.9220069519477
-5.3961,-1342.489711349688,-1342.4897166858625
-5.395,-1393.057671721826,-1393.0576767870064
-5.3939,-1442.6427347422168,-1442.642739533148
-5.3928,-1491.2614947975412,-1491.2614993109212
-5.3917,-1538.9302923330931,-1538.9302965656982
-5.3906,-1585.665217743043,-1585.6652216916586
-5.3895,-1631.4821152010431,-1631.4821188624599
-5.3884,-1676.3965864329098,-1676.396589803974
-5.3873,-1720.4239944320123,-1720.423997509546
-5.3862,-1763.5794671181893,-1763.5794698990676
-5.3850999999999996,-1805.8779009414402,-1805.8779034225463
-5.384,-1847.3339644307373,-1847.333966608968
-5.3829,-1887.9621016895521,-1887.962103561816
-5.3818,-1927.776535837962,-1927.7765374012104
-5.3807,-1966.791272403218,-1966.791529542377
-5.3796,-2005.0201026588832,-2005.020353778769
-5.3785,-2042.4766069135976,-2042.4768521421554
-5.3774,-2079.1741577503603,-2079.174397212307
-5.3763,-2115.1259232167404,-2115.1261570338315
-5.3751999999999995,-2150.34486996736,-2150.3450982583486
-5.3741,-2184.8437663589066,-2184.8439892396286
-5.373,-2218.6351854986683,-2218.635403082169
-5.3719,-2251.7315082472146,-2251.731720643767
-5.3708,-2284.144926176039,-2284.1451334932285
-5.3697,-2315.8874444808116,-2315.887646823655
